I am from / Я из,"I struggle to focus on one task without distraction.  /  Мне трудно сосредоточиться на одной задаче, не отвлекаясь.  ","While working, I notice physical tension (neck, shoulders, jaw). /  Во время работы я ощущаю физическое напряжение (шея, плечи, челюсть).  ",I feel mentally exhausted at the end of my workday. /  В конце рабочего дня я чувствую умственное истощение.   ,"Even when tired, I find it hard to stop working. /  Даже чувствуя усталость, мне сложно остановить работу.   ",Breaks do not noticeably restore my energy. /  Перерывы не дают заметного восстановления энергии.  ,"Overall, my current work stress level is: /  В целом мой текущий уровень рабочего стресса:  "
Asia / Азия,Slightly / Немного,Moderately / Умеренно,Moderately / Умеренно,Moderately / Умеренно,Slightly / Немного,Moderate / Умеренный
Asia / Азия,Slightly / Немного,Moderately / Умеренно,Extremely / Очень сильно,Not at all / Совсем нет,Strongly / Сильно,Moderate / Умеренный
Europe / Европа,Slightly / Немного,Moderately / Умеренно,Strongly / Сильно,Strongly / Сильно,Moderately / Умеренно,Moderate / Умеренный
Asia / Азия,Slightly / Немного,Strongly / Сильно,Extremely / Очень сильно,Extremely / Очень сильно,Strongly / Сильно,Moderate / Умеренный
Asia / Азия,Slightly / Немного,Slightly / Немного,Not at all / Совсем нет,Not at all / Совсем нет,Strongly / Сильно,Low / Низкий
Asia / Азия,Strongly / Сильно,Moderately / Умеренно,Slightly / Немного,Moderately / Умеренно,Moderately / Умеренно,Moderate / Умеренный
Asia / Азия,Extremely / Очень сильно,Strongly / Сильно,Slightly / Немного,Strongly / Сильно,Moderately / Умеренно,High / Высокий
Asia / Азия,Moderately / Умеренно,Moderately / Умеренно,Extremely / Очень сильно,Moderately / Умеренно,Extremely / Очень сильно,High / Высокий
Asia / Азия,Moderately / Умеренно,Slightly / Немного,Slightly / Немного,Slightly / Немного,Strongly / Сильно,Moderate / Умеренный
Asia / Азия,Moderately / Умеренно,Moderately / Умеренно,Strongly / Сильно,Slightly / Немного,Slightly / Немного,Moderate / Умеренный
Asia / Азия,Slightly / Немного,Strongly / Сильно,Moderately / Умеренно,Strongly / Сильно,Slightly / Немного,High / Высокий
Asia / Азия,Slightly / Немного,Not at all / Совсем нет,Moderately / Умеренно,Strongly / Сильно,Moderately / Умеренно,Low / Низкий
Asia / Азия,Strongly / Сильно,Moderately / Умеренно,Extremely / Очень сильно,Slightly / Немного,Extremely / Очень сильно,High / Высокий
Asia / Азия,Not at all / Совсем нет,Slightly / Немного,Slightly / Немного,Moderately / Умеренно,Slightly / Немного,Moderate / Умеренный
Asia / Азия,Strongly / Сильно,Not at all / Совсем нет,Slightly / Немного,Not at all / Совсем нет,Not at all / Совсем нет,Moderate / Умеренный
Asia / Азия,Moderately / Умеренно,Strongly / Сильно,Extremely / Очень сильно,Moderately / Умеренно,Strongly / Сильно,High / Высокий
Asia / Азия,Moderately / Умеренно,Moderately / Умеренно,Slightly / Немного,Not at all / Совсем нет,Moderately / Умеренно,Low / Низкий
Asia / Азия,Not at all / Совсем нет,Not at all / Совсем нет,Not at all / Совсем нет,Not at all / Совсем нет,Not at all / Совсем нет,Low / Низкий
Asia / Азия,Moderately / Умеренно,Moderately / Умеренно,Slightly / Немного,Not at all / Совсем нет,Moderately / Умеренно,Low / Низкий
Asia / Азия,Strongly / Сильно,Not at all / Совсем нет,Slightly / Немного,Not at all / Совсем нет,Strongly / Сильно,Low / Низкий
Asia / Азия,Slightly / Немного,Slightly / Немного,Slightly / Немного,Not at all / Совсем нет,Strongly / Сильно,Moderate / Умеренный
Asia / Азия,Not at all / Совсем нет,Not at all / Совсем нет,Slightly / Немного,Not at all / Совсем нет,Slightly / Немного,Low / Низкий
Asia / Азия,Slightly / Немного,Not at all / Совсем нет,Slightly / Немного,Moderately / Умеренно,Moderately / Умеренно,Low / Низкий
Asia / Азия,Moderately / Умеренно,Moderately / Умеренно,Moderately / Умеренно,Moderately / Умеренно,Moderately / Умеренно,Moderate / Умеренный
Asia / Азия,Slightly / Немного,Not at all / Совсем нет,Slightly / Немного,Slightly / Немного,Not at all / Совсем нет,Moderate / Умеренный
Asia / Азия,Moderately / Умеренно,Moderately / Умеренно,Slightly / Немного,Strongly / Сильно,Slightly / Немного,Low / Низкий
Asia / Азия,Slightly / Немного,Slightly / Немного,Slightly / Немного,Moderately / Умеренно,Not at all / Совсем нет,Low / Низкий
Asia / Азия,Not at all / Совсем нет,Slightly / Немного,Slightly / Немного,Not at all / Совсем нет,Strongly / Сильно,Moderate / Умеренный
Asia / Азия,Moderately / Умеренно,Slightly / Немного,Moderately / Умеренно,Extremely / Очень сильно,Not at all / Совсем нет,Low / Низкий
Asia / Азия,Moderately / Умеренно,Slightly / Немного,Moderately / Умеренно,Slightly / Немного,Moderately / Умеренно,High / Высокий
Europe / Европа,Moderately / Умеренно,Not at all / Совсем нет,Not at all / Совсем нет,Not at all / Совсем нет,Not at all / Совсем нет,Low / Низкий
Asia / Азия,Extremely / Очень сильно,Moderately / Умеренно,Strongly / Сильно,Slightly / Немного,Extremely / Очень сильно,High / Высокий
Asia / Азия,Slightly / Немного,Slightly / Немного,Moderately / Умеренно,Not at all / Совсем нет,Moderately / Умеренно,Low / Низкий
Asia / Азия,Slightly / Немного,Not at all / Совсем нет,Slightly / Немного,Slightly / Немного,Not at all / Совсем нет,Moderate / Умеренный
Asia / Азия,Moderately / Умеренно,Slightly / Немного,Moderately / Умеренно,Moderately / Умеренно,Slightly / Немного,Moderate / Умеренный
Asia / Азия,Extremely / Очень сильно,Moderately / Умеренно,Extremely / Очень сильно,Slightly / Немного,Moderately / Умеренно,Critical / Критический
Asia / Азия,Extremely / Очень сильно,Not at all / Совсем нет,Extremely / Очень сильно,Moderately / Умеренно,Extremely / Очень сильно,Critical / Критический
South America / Южная Америка,Moderately / Умеренно,Slightly / Немного,Slightly / Немного,Not at all / Совсем нет,Slightly / Немного,Low / Низкий
Asia / Азия,Slightly / Немного,Moderately / Умеренно,Moderately / Умеренно,Moderately / Умеренно,Strongly / Сильно,Moderate / Умеренный
Asia / Азия,Strongly / Сильно,Slightly / Немного,Strongly / Сильно,Strongly / Сильно,Slightly / Немного,High / Высокий
Asia / Азия,Slightly / Немного,Not at all / Совсем нет,Moderately / Умеренно,Strongly / Сильно,Strongly / Сильно,High / Высокий
Asia / Азия,Not at all / Совсем нет,Strongly / Сильно,Strongly / Сильно,Moderately / Умеренно,Extremely / Очень сильно,Moderate / Умеренный
Asia / Азия,Strongly / Сильно,Moderately / Умеренно,Moderately / Умеренно,Strongly / Сильно,Slightly / Немного,High / Высокий
Asia / Азия,Extremely / Очень сильно,Strongly / Сильно,Extremely / Очень сильно,Extremely / Очень сильно,Extremely / Очень сильно,Critical / Критический
Asia / Азия,Slightly / Немного,Slightly / Немного,Slightly / Немного,Moderately / Умеренно,Slightly / Немного,Low / Низкий
Asia / Азия,Strongly / Сильно,Strongly / Сильно,Strongly / Сильно,Extremely / Очень сильно,Not at all / Совсем нет,Moderate / Умеренный
Asia / Азия,Slightly / Немного,Slightly / Немного,Not at all / Совсем нет,Not at all / Совсем нет,Not at all / Совсем нет,Low / Низкий
Asia / Азия,Moderately / Умеренно,Strongly / Сильно,Moderately / Умеренно,Moderately / Умеренно,Slightly / Немного,Low / Низкий
Asia / Азия,Extremely / Очень сильно,Moderately / Умеренно,Not at all / Совсем нет,Not at all / Совсем нет,Not at all / Совсем нет,Moderate / Умеренный
Asia / Азия,Slightly / Немного,Not at all / Совсем нет,Slightly / Немного,Slightly / Немного,Not at all / Совсем нет,Low / Низкий
Asia / Азия,Slightly / Немного,Moderately / Умеренно,Strongly / Сильно,Moderately / Умеренно,Strongly / Сильно,High / Высокий
Asia / Азия,Slightly / Немного,Not at all / Совсем нет,Slightly / Немного,Slightly / Немного,Strongly / Сильно,High / Высокий
Asia / Азия,Strongly / Сильно,Slightly / Немного,Extremely / Очень сильно,Moderately / Умеренно,Moderately / Умеренно,High / Высокий
Europe / Европа,Moderately / Умеренно,Moderately / Умеренно,Strongly / Сильно,Strongly / Сильно,Extremely / Очень сильно,Moderate / Умеренный
Europe / Европа,Slightly / Немного,Strongly / Сильно,Moderately / Умеренно,Moderately / Умеренно,Slightly / Немного,Moderate / Умеренный
Europe / Европа,Slightly / Немного,Moderately / Умеренно,Moderately / Умеренно,Slightly / Немного,Strongly / Сильно,High / Высокий
Europe / Европа,Slightly / Немного,Not at all / Совсем нет,Not at all / Совсем нет,Moderately / Умеренно,Not at all / Совсем нет,Low / Низкий
Europe / Европа,Not at all / Совсем нет,Moderately / Умеренно,Slightly / Немного,Slightly / Немного,Slightly / Немного,Moderate / Умеренный
North America / Северная Америка,Strongly / Сильно,Moderately / Умеренно,Extremely / Очень сильно,Strongly / Сильно,Strongly / Сильно,High / Высокий
Asia / Азия,Not at all / Совсем нет,Slightly / Немного,Slightly / Немного,Strongly / Сильно,Strongly / Сильно,High / Высокий
Asia / Азия,Strongly / Сильно,Slightly / Немного,Strongly / Сильно,,Not at all / Совсем нет,High / Высокий
Asia / Азия,Not at all / Совсем нет,Moderately / Умеренно,Moderately / Умеренно,Slightly / Немного,Slightly / Немного,Moderate / Умеренный
Asia / Азия,Not at all / Совсем нет,Slightly / Немного,Slightly / Немного,Moderately / Умеренно,Slightly / Немного,Moderate / Умеренный
Asia / Азия,Not at all / Совсем нет,Slightly / Немного,Slightly / Немного,Slightly / Немного,Slightly / Немного,Low / Низкий
Asia / Азия,Slightly / Немного,Moderately / Умеренно,Moderately / Умеренно,Strongly / Сильно,Moderately / Умеренно,Moderate / Умеренный
Asia / Азия,Not at all / Совсем нет,Not at all / Совсем нет,Not at all / Совсем нет,Slightly / Немного,Not at all / Совсем нет,Low / Низкий
Asia / Азия,Strongly / Сильно,Moderately / Умеренно,Moderately / Умеренно,Slightly / Немного,Moderately / Умеренно,Moderate / Умеренный
Asia / Азия,Not at all / Совсем нет,Not at all / Совсем нет,Slightly / Немного,Not at all / Совсем нет,Slightly / Немного,Low / Низкий
Asia / Азия,Moderately / Умеренно,Moderately / Умеренно,Slightly / Немного,Slightly / Немного,Strongly / Сильно,High / Высокий
Asia / Азия,Slightly / Немного,Strongly / Сильно,Not at all / Совсем нет,Slightly / Немного,Slightly / Немного,Moderate / Умеренный
Asia / Азия,Not at all / Совсем нет,Not at all / Совсем нет,Not at all / Совсем нет,Strongly / Сильно,Moderately / Умеренно,High / Высокий
Asia / Азия,Moderately / Умеренно,Slightly / Немного,Slightly / Немного,Slightly / Немного,Extremely / Очень сильно,Moderate / Умеренный
Asia / Азия,Slightly / Немного,Not at all / Совсем нет,Moderately / Умеренно,Not at all / Совсем нет,Extremely / Очень сильно,Moderate / Умеренный
Asia / Азия,Strongly / Сильно,Moderately / Умеренно,Moderately / Умеренно,Moderately / Умеренно,Slightly / Немного,High / Высокий
Asia / Азия,Slightly / Немного,Slightly / Немного,Slightly / Немного,Slightly / Немного,Not at all / Совсем нет,Low / Низкий
Asia / Азия,Slightly / Немного,Moderately / Умеренно,Not at all / Совсем нет,Not at all / Совсем нет,Not at all / Совсем нет,Moderate / Умеренный
Asia / Азия,Slightly / Немного,Not at all / Совсем нет,Not at all / Совсем нет,Slightly / Немного,Slightly / Немного,Moderate / Умеренный
Europe / Европа,Slightly / Немного,Not at all / Совсем нет,Not at all / Совсем нет,Not at all / Совсем нет,Not at all / Совсем нет,Low / Низкий
Europe / Европа,Not at all / Совсем нет,Moderately / Умеренно,Moderately / Умеренно,Not at all / Совсем нет,Not at all / Совсем нет,Moderate / Умеренный
Asia / Азия,Not at all / Совсем нет,Not at all / Совсем нет,Moderately / Умеренно,Moderately / Умеренно,Not at all / Совсем нет,Moderate / Умеренный
Asia / Азия,Moderately / Умеренно,Not at all / Совсем нет,Moderately / Умеренно,Moderately / Умеренно,Slightly / Немного,Moderate / Умеренный
Europe / Европа,Slightly / Немного,Strongly / Сильно,Strongly / Сильно,Strongly / Сильно,Moderately / Умеренно,High / Высокий
Asia / Азия,Moderately / Умеренно,Slightly / Немного,Strongly / Сильно,Moderately / Умеренно,Strongly / Сильно,High / Высокий
Europe / Европа,Extremely / Очень сильно,Strongly / Сильно,Extremely / Очень сильно,Strongly / Сильно,Extremely / Очень сильно,High / Высокий
Europe / Европа,Not at all / Совсем нет,Slightly / Немного,Moderately / Умеренно,Slightly / Немного,Slightly / Немного,Low / Низкий
Asia / Азия,Slightly / Немного,Not at all / Совсем нет,Moderately / Умеренно,Moderately / Умеренно,Moderately / Умеренно,Moderate / Умеренный
Asia / Азия,Not at all / Совсем нет,Not at all / Совсем нет,Not at all / Совсем нет,Not at all / Совсем нет,Moderately / Умеренно,Low / Низкий
Asia / Азия,Slightly / Немного,Slightly / Немного,Strongly / Сильно,Moderately / Умеренно,Moderately / Умеренно,Moderate / Умеренный
Asia / Азия,Slightly / Немного,Not at all / Совсем нет,Slightly / Немного,Slightly / Немного,Strongly / Сильно,High / Высокий
Asia / Азия,Moderately / Умеренно,Strongly / Сильно,Slightly / Немного,Slightly / Немного,Extremely / Очень сильно,Moderate / Умеренный
Asia / Азия,Not at all / Совсем нет,Slightly / Немного,Slightly / Немного,Slightly / Немного,Not at all / Совсем нет,High / Высокий
Asia / Азия,Moderately / Умеренно,Moderately / Умеренно,Strongly / Сильно,Moderately / Умеренно,Extremely / Очень сильно,Moderate / Умеренный
Asia / Азия,Not at all / Совсем нет,Not at all / Совсем нет,Slightly / Немного,Strongly / Сильно,Slightly / Немного,Low / Низкий
Asia / Азия,Moderately / Умеренно,Slightly / Немного,Slightly / Немного,Slightly / Немного,Not at all / Совсем нет,Moderate / Умеренный
Asia / Азия,Slightly / Немного,Slightly / Немного,Moderately / Умеренно,Moderately / Умеренно,Not at all / Совсем нет,Moderate / Умеренный
Asia / Азия,Moderately / Умеренно,Strongly / Сильно,Moderately / Умеренно,Strongly / Сильно,Strongly / Сильно,Moderate / Умеренный
Asia / Азия,Not at all / Совсем нет,Not at all / Совсем нет,Slightly / Немного,Not at all / Совсем нет,Slightly / Немного,Low / Низкий
Asia / Азия,Strongly / Сильно,Strongly / Сильно,Strongly / Сильно,Strongly / Сильно,Strongly / Сильно,High / Высокий
Europe / Европа,Extremely / Очень сильно,Extremely / Очень сильно,Strongly / Сильно,Strongly / Сильно,Strongly / Сильно,Critical / Критический
North America / Северная Америка,Strongly / Сильно,Strongly / Сильно,Strongly / Сильно,Strongly / Сильно,Strongly / Сильно,High / Высокий
Europe / Европа,Strongly / Сильно,Strongly / Сильно,Strongly / Сильно,Strongly / Сильно,Strongly / Сильно,Critical / Критический
Asia / Азия,Strongly / Сильно,Strongly / Сильно,Extremely / Очень сильно,Strongly / Сильно,Strongly / Сильно,High / Высокий
Europe / Европа,Extremely / Очень сильно,Strongly / Сильно,Strongly / Сильно,Moderately / Умеренно,Extremely / Очень сильно,Critical / Критический
Europe / Европа,Extremely / Очень сильно,Extremely / Очень сильно,Extremely / Очень сильно,Extremely / Очень сильно,Extremely / Очень сильно,Critical / Критический
Europe / Европа,Strongly / Сильно,Strongly / Сильно,Extremely / Очень сильно,Strongly / Сильно,Extremely / Очень сильно,High / Высокий
Europe / Европа,Extremely / Очень сильно,Extremely / Очень сильно,Extremely / Очень сильно,Extremely / Очень сильно,Extremely / Очень сильно,Critical / Критический
Asia / Азия,Strongly / Сильно,Extremely / Очень сильно,Strongly / Сильно,Extremely / Очень сильно,Strongly / Сильно,High / Высокий
North America / Северная Америка,Strongly / Сильно,Moderately / Умеренно,Strongly / Сильно,Strongly / Сильно,Strongly / Сильно,Critical / Критический
North America / Северная Америка,Extremely / Очень сильно,Extremely / Очень сильно,Extremely / Очень сильно,Extremely / Очень сильно,Extremely / Очень сильно,Critical / Критический
North America / Северная Америка,Strongly / Сильно,Moderately / Умеренно,Moderately / Умеренно,Slightly / Немного,Strongly / Сильно,Moderate / Умеренный
Europe / Европа,Extremely / Очень сильно,Extremely / Очень сильно,Extremely / Очень сильно,Extremely / Очень сильно,Extremely / Очень сильно,Critical / Критический
Europe / Европа,Strongly / Сильно,Strongly / Сильно,Strongly / Сильно,Strongly / Сильно,Strongly / Сильно,High / Высокий
Europe / Европа,Extremely / Очень сильно,Extremely / Очень сильно,Extremely / Очень сильно,Extremely / Очень сильно,Extremely / Очень сильно,Critical / Критический
Europe / Европа,Strongly / Сильно,Extremely / Очень сильно,Extremely / Очень сильно,Moderately / Умеренно,Extremely / Очень сильно,High / Высокий
Europe / Европа,Extremely / Очень сильно,Extremely / Очень сильно,Extremely / Очень сильно,Extremely / Очень сильно,Extremely / Очень сильно,Critical / Критический
Europe / Европа,Extremely / Очень сильно,Extremely / Очень сильно,Extremely / Очень сильно,Extremely / Очень сильно,Extremely / Очень сильно,Critical / Критический
North America / Северная Америка,Extremely / Очень сильно,Extremely / Очень сильно,Extremely / Очень сильно,Extremely / Очень сильно,Extremely / Очень сильно,Critical / Критический
Asia / Азия,Strongly / Сильно,Strongly / Сильно,Strongly / Сильно,Strongly / Сильно,Strongly / Сильно,High / Высокий
Asia / Азия,Extremely / Очень сильно,Extremely / Очень сильно,Extremely / Очень сильно,Extremely / Очень сильно,Extremely / Очень сильно,Critical / Критический
Asia / Азия,Strongly / Сильно,Extremely / Очень сильно,Moderately / Умеренно,Moderately / Умеренно,Strongly / Сильно,High / Высокий
Asia / Азия,Strongly / Сильно,Strongly / Сильно,Extremely / Очень сильно,Extremely / Очень сильно,Strongly / Сильно,Critical / Критический
North America / Северная Америка,Strongly / Сильно,Strongly / Сильно,Extremely / Очень сильно,Moderately / Умеренно,Not at all / Совсем нет,Moderate / Умеренный
Asia / Азия,Slightly / Немного,Strongly / Сильно,Strongly / Сильно,Extremely / Очень сильно,Moderately / Умеренно,High / Высокий
Europe / Европа,Strongly / Сильно,Strongly / Сильно,Extremely / Очень сильно,Moderately / Умеренно,Slightly / Немного,High / Высокий
Europe / Европа,Moderately / Умеренно,Strongly / Сильно,Extremely / Очень сильно,Strongly / Сильно,Moderately / Умеренно,High / Высокий
"Oceania, Australia / Океания, Австралия",Moderately / Умеренно,Strongly / Сильно,Strongly / Сильно,Extremely / Очень сильно,Strongly / Сильно,Critical / Критический
Asia / Азия,Moderately / Умеренно,Strongly / Сильно,Strongly / Сильно,Strongly / Сильно,Strongly / Сильно,High / Высокий
Asia / Азия,Moderately / Умеренно,Slightly / Немного,Strongly / Сильно,Slightly / Немного,Strongly / Сильно,Moderate / Умеренный
Asia / Азия,Slightly / Немного,Slightly / Немного,Moderately / Умеренно,Slightly / Немного,Slightly / Немного,Low / Низкий